Year,EventName,RoundNumber,SeasonPoints,SeasonStanding,SeasonAvgFinish,HistoricalTrackAvgPosition,ConstructorPoints,ConstructorStanding,ConstructorTrackAvg,GridPosition,ActualGridPosition,RecentForm,CareerWins,WinsLast3Years,PointsGapToLeader,TrackType,FormTrend,DriverNumber,DriverName,TeamName,ActualPosition,Points,RacePoints,SprintPoints,IsDNF,Status
2020,Pre-Season Test 1,0,0.0,20,,10.0,0.0,10,10.0,1.0,1.0,,0,0,0.0,0,0.0,77,BOT,Mercedes,1.0,25.0,25.0,0.0,False,Finished
2020,Pre-Season Test 1,0,0.0,20,,10.0,0.0,10,10.0,7.0,7.0,,0,0,0.0,0,0.0,16,LEC,Ferrari,2.0,18.0,18.0,0.0,False,Finished
2020,Pre-Season Test 1,0,0.0,20,,10.0,0.0,10,10.0,3.0,3.0,,0,0,0.0,0,0.0,4,NOR,McLaren,3.0,15.0,15.0,0.0,False,Finished
2020,Pre-Season Test 1,0,0.0,20,,10.0,0.0,10,10.0,5.0,5.0,,0,0,0.0,0,0.0,44,HAM,Mercedes,4.0,12.0,12.0,0.0,False,Finished
2020,Pre-Season Test 1,0,0.0,20,,10.0,0.0,10,10.0,8.0,8.0,,0,0,0.0,0,0.0,55,SAI,McLaren,5.0,10.0,10.0,0.0,False,Finished
2020,Pre-Season Test 1,0,0.0,20,,10.0,0.0,10,10.0,6.0,6.0,,0,0,0.0,0,0.0,11,PER,Racing Point,6.0,8.0,8.0,0.0,False,Finished
2020,Pre-Season Test 1,0,0.0,20,,10.0,0.0,10,10.0,12.0,12.0,,0,0,0.0,0,0.0,10,GAS,AlphaTauri,7.0,6.0,6.0,0.0,False,Finished
2020,Pre-Season Test 1,0,0.0,20,,10.0,0.0,10,10.0,14.0,14.0,,0,0,0.0,0,0.0,31,OCO,Renault,8.0,4.0,4.0,0.0,False,Finished
2020,Pre-Season Test 1,0,0.0,20,,10.0,0.0,10,10.0,18.0,18.0,,0,0,0.0,0,0.0,99,GIO,Alfa Romeo Racing,9.0,2.0,2.0,0.0,False,Finished
2020,Pre-Season Test 1,0,0.0,20,,10.0,0.0,10,10.0,11.0,11.0,,0,0,0.0,0,0.0,5,VET,Ferrari,10.0,1.0,1.0,0.0,False,Finished
2020,Pre-Season Test 1,0,0.0,20,,10.0,0.0,10,10.0,20.0,20.0,,0,0,0.0,0,0.0,6,LAT,Williams,11.0,0.0,0.0,0.0,False,Finished
2020,Pre-Season Test 1,0,0.0,20,,10.0,0.0,10,10.0,13.0,13.0,,0,0,0.0,0,0.0,26,KVY,AlphaTauri,12.0,0.0,0.0,0.0,False,Suspension
2020,Pre-Season Test 1,0,0.0,20,,10.0,0.0,10,10.0,4.0,4.0,,0,0,0.0,0,0.0,23,ALB,Red Bull Racing,13.0,0.0,0.0,0.0,False,Electronics
2020,Pre-Season Test 1,0,0.0,20,,10.0,0.0,10,10.0,19.0,19.0,,0,0,0.0,0,0.0,7,RAI,Alfa Romeo Racing,14.0,0.0,0.0,0.0,False,Wheel
2020,Pre-Season Test 1,0,0.0,20,,10.0,0.0,10,10.0,17.0,17.0,,0,0,0.0,0,0.0,63,RUS,Williams,15.0,0.0,0.0,0.0,False,Fuel pressure
2020,Pre-Season Test 1,0,0.0,20,,10.0,0.0,10,10.0,15.0,15.0,,0,0,0.0,0,0.0,8,GRO,Haas F1 Team,16.0,0.0,0.0,0.0,False,Brakes
2020,Pre-Season Test 1,0,0.0,20,,10.0,0.0,10,10.0,16.0,16.0,,0,0,0.0,0,0.0,20,MAG,Haas F1 Team,17.0,0.0,0.0,0.0,False,Brakes
2020,Pre-Season Test 1,0,0.0,20,,10.0,0.0,10,10.0,9.0,9.0,,0,0,0.0,0,0.0,18,STR,Racing Point,18.0,0.0,0.0,0.0,False,Engine
2020,Pre-Season Test 1,0,0.0,20,,10.0,0.0,10,10.0,10.0,10.0,,0,0,0.0,0,0.0,3,RIC,Renault,19.0,0.0,0.0,0.0,False,Overheating
2020,Pre-Season Test 1,0,0.0,20,,10.0,0.0,10,10.0,2.0,2.0,,0,0,0.0,0,0.0,33,VER,Red Bull Racing,20.0,0.0,0.0,0.0,False,Electronics
2020,Pre-Season Test 2,0,0.0,20,,10.0,0.0,10,10.0,1.0,1.0,,0,0,0.0,0,0.0,77,BOT,Mercedes,1.0,25.0,25.0,0.0,False,Finished
2020,Pre-Season Test 2,0,0.0,20,,10.0,0.0,10,10.0,7.0,7.0,,0,0,0.0,0,0.0,16,LEC,Ferrari,2.0,18.0,18.0,0.0,False,Finished
2020,Pre-Season Test 2,0,0.0,20,,10.0,0.0,10,10.0,3.0,3.0,,0,0,0.0,0,0.0,4,NOR,McLaren,3.0,15.0,15.0,0.0,False,Finished
2020,Pre-Season Test 2,0,0.0,20,,10.0,0.0,10,10.0,5.0,5.0,,0,0,0.0,0,0.0,44,HAM,Mercedes,4.0,12.0,12.0,0.0,False,Finished
2020,Pre-Season Test 2,0,0.0,20,,10.0,0.0,10,10.0,8.0,8.0,,0,0,0.0,0,0.0,55,SAI,McLaren,5.0,10.0,10.0,0.0,False,Finished
2020,Pre-Season Test 2,0,0.0,20,,10.0,0.0,10,10.0,6.0,6.0,,0,0,0.0,0,0.0,11,PER,Racing Point,6.0,8.0,8.0,0.0,False,Finished
2020,Pre-Season Test 2,0,0.0,20,,10.0,0.0,10,10.0,12.0,12.0,,0,0,0.0,0,0.0,10,GAS,AlphaTauri,7.0,6.0,6.0,0.0,False,Finished
2020,Pre-Season Test 2,0,0.0,20,,10.0,0.0,10,10.0,14.0,14.0,,0,0,0.0,0,0.0,31,OCO,Renault,8.0,4.0,4.0,0.0,False,Finished
2020,Pre-Season Test 2,0,0.0,20,,10.0,0.0,10,10.0,18.0,18.0,,0,0,0.0,0,0.0,99,GIO,Alfa Romeo Racing,9.0,2.0,2.0,0.0,False,Finished
2020,Pre-Season Test 2,0,0.0,20,,10.0,0.0,10,10.0,11.0,11.0,,0,0,0.0,0,0.0,5,VET,Ferrari,10.0,1.0,1.0,0.0,False,Finished
2020,Pre-Season Test 2,0,0.0,20,,10.0,0.0,10,10.0,20.0,20.0,,0,0,0.0,0,0.0,6,LAT,Williams,11.0,0.0,0.0,0.0,False,Finished
2020,Pre-Season Test 2,0,0.0,20,,10.0,0.0,10,10.0,13.0,13.0,,0,0,0.0,0,0.0,26,KVY,AlphaTauri,12.0,0.0,0.0,0.0,False,Suspension
2020,Pre-Season Test 2,0,0.0,20,,10.0,0.0,10,10.0,4.0,4.0,,0,0,0.0,0,0.0,23,ALB,Red Bull Racing,13.0,0.0,0.0,0.0,False,Electronics
2020,Pre-Season Test 2,0,0.0,20,,10.0,0.0,10,10.0,19.0,19.0,,0,0,0.0,0,0.0,7,RAI,Alfa Romeo Racing,14.0,0.0,0.0,0.0,False,Wheel
2020,Pre-Season Test 2,0,0.0,20,,10.0,0.0,10,10.0,17.0,17.0,,0,0,0.0,0,0.0,63,RUS,Williams,15.0,0.0,0.0,0.0,False,Fuel pressure
2020,Pre-Season Test 2,0,0.0,20,,10.0,0.0,10,10.0,15.0,15.0,,0,0,0.0,0,0.0,8,GRO,Haas F1 Team,16.0,0.0,0.0,0.0,False,Brakes
2020,Pre-Season Test 2,0,0.0,20,,10.0,0.0,10,10.0,16.0,16.0,,0,0,0.0,0,0.0,20,MAG,Haas F1 Team,17.0,0.0,0.0,0.0,False,Brakes
2020,Pre-Season Test 2,0,0.0,20,,10.0,0.0,10,10.0,9.0,9.0,,0,0,0.0,0,0.0,18,STR,Racing Point,18.0,0.0,0.0,0.0,False,Engine
2020,Pre-Season Test 2,0,0.0,20,,10.0,0.0,10,10.0,10.0,10.0,,0,0,0.0,0,0.0,3,RIC,Renault,19.0,0.0,0.0,0.0,False,Overheating
2020,Pre-Season Test 2,0,0.0,20,,10.0,0.0,10,10.0,2.0,2.0,,0,0,0.0,0,0.0,33,VER,Red Bull Racing,20.0,0.0,0.0,0.0,False,Electronics
2020,Austrian Grand Prix,1,0.0,20,,10.0,0.0,10,13.0,1.0,1.0,,2,2,0.0,0,0.0,77,BOT,Mercedes,1.0,25.0,25.0,0.0,False,Finished
2020,Austrian Grand Prix,1,0.0,20,,10.0,0.0,10,13.0,7.0,7.0,,0,0,0.0,0,0.0,16,LEC,Ferrari,2.0,18.0,18.0,0.0,False,Finished
2020,Austrian Grand Prix,1,0.0,20,,10.0,0.0,10,13.0,3.0,3.0,,0,0,0.0,0,0.0,4,NOR,McLaren,3.0,15.0,15.0,0.0,False,Finished
2020,Austrian Grand Prix,1,0.0,20,,10.0,0.0,10,13.0,5.0,5.0,,0,0,0.0,0,0.0,44,HAM,Mercedes,4.0,12.0,12.0,0.0,False,Finished
2020,Austrian Grand Prix,1,0.0,20,,10.0,0.0,10,13.0,8.0,8.0,,0,0,0.0,0,0.0,55,SAI,McLaren,5.0,10.0,10.0,0.0,False,Finished
2020,Austrian Grand Prix,1,0.0,20,,10.0,0.0,10,13.0,6.0,6.0,,0,0,0.0,0,0.0,11,PER,Racing Point,6.0,8.0,8.0,0.0,False,Finished
2020,Austrian Grand Prix,1,0.0,20,,10.0,0.0,10,13.0,12.0,12.0,,0,0,0.0,0,0.0,10,GAS,AlphaTauri,7.0,6.0,6.0,0.0,False,Finished
2020,Austrian Grand Prix,1,0.0,20,,10.0,0.0,10,13.0,14.0,14.0,,0,0,0.0,0,0.0,31,OCO,Renault,8.0,4.0,4.0,0.0,False,Finished
2020,Austrian Grand Prix,1,0.0,20,,10.0,0.0,10,13.0,18.0,18.0,,0,0,0.0,0,0.0,99,GIO,Alfa Romeo Racing,9.0,2.0,2.0,0.0,False,Finished
2020,Austrian Grand Prix,1,0.0,20,,10.0,0.0,10,13.0,11.0,11.0,,0,0,0.0,0,0.0,5,VET,Ferrari,10.0,1.0,1.0,0.0,False,Finished
2020,Austrian Grand Prix,1,0.0,20,,10.0,0.0,10,13.0,20.0,20.0,,0,0,0.0,0,0.0,6,LAT,Williams,11.0,0.0,0.0,0.0,False,Finished
2020,Austrian Grand Prix,1,0.0,20,,10.0,0.0,10,13.0,13.0,13.0,,0,0,0.0,0,0.0,26,KVY,AlphaTauri,12.0,0.0,0.0,0.0,False,Suspension
2020,Austrian Grand Prix,1,0.0,20,,10.0,0.0,10,13.0,4.0,4.0,,0,0,0.0,0,0.0,23,ALB,Red Bull Racing,13.0,0.0,0.0,0.0,False,Electronics
2020,Austrian Grand Prix,1,0.0,20,,10.0,0.0,10,13.0,19.0,19.0,,0,0,0.0,0,0.0,7,RAI,Alfa Romeo Racing,14.0,0.0,0.0,0.0,False,Wheel
2020,Austrian Grand Prix,1,0.0,20,,10.0,0.0,10,13.0,17.0,17.0,,0,0,0.0,0,0.0,63,RUS,Williams,15.0,0.0,0.0,0.0,False,Fuel pressure
2020,Austrian Grand Prix,1,0.0,20,,10.0,0.0,10,13.0,15.0,15.0,,0,0,0.0,0,0.0,8,GRO,Haas F1 Team,16.0,0.0,0.0,0.0,False,Brakes
2020,Austrian Grand Prix,1,0.0,20,,10.0,0.0,10,13.0,16.0,16.0,,0,0,0.0,0,0.0,20,MAG,Haas F1 Team,17.0,0.0,0.0,0.0,False,Brakes
2020,Austrian Grand Prix,1,0.0,20,,10.0,0.0,10,13.0,9.0,9.0,,0,0,0.0,0,0.0,18,STR,Racing Point,18.0,0.0,0.0,0.0,False,Engine
2020,Austrian Grand Prix,1,0.0,20,,10.0,0.0,10,13.0,10.0,10.0,,0,0,0.0,0,0.0,3,RIC,Renault,19.0,0.0,0.0,0.0,False,Overheating
2020,Austrian Grand Prix,1,0.0,20,,10.0,0.0,10,13.0,2.0,2.0,,0,0,0.0,0,0.0,33,VER,Red Bull Racing,20.0,0.0,0.0,0.0,False,Electronics
2020,Styrian Grand Prix,2,24.0,4,4.0,10.0,74.0,1,2.5,5.0,1.0,4.0,0,0,26.0,0,0.0,44,HAM,Mercedes,1.0,25.0,25.0,0.0,False,Finished
2020,Styrian Grand Prix,2,75.0,1,1.0,10.0,111.0,1,2.5,1.0,4.0,1.0,3,3,0.0,0,0.0,77,BOT,Mercedes,2.0,18.0,18.0,0.0,False,Finished
2020,Styrian Grand Prix,2,0.0,11,20.0,10.0,0.0,9,16.5,2.0,2.0,20.0,0,0,75.0,0,0.0,33,VER,Red Bull Racing,3.0,15.0,15.0,0.0,False,Finished
2020,Styrian Grand Prix,2,0.0,11,13.0,10.0,0.0,9,16.5,4.0,6.0,13.0,0,0,75.0,0,0.0,23,ALB,Red Bull Racing,4.0,12.0,12.0,0.0,False,Finished
2020,Styrian Grand Prix,2,48.0,3,3.0,10.0,78.0,2,4.0,3.0,9.0,3.0,0,0,27.0,0,0.0,4,NOR,McLaren,5.0,10.0,10.0,0.0,False,Finished
